rgb_frame,thermal_frame,rgb_box_index,thermal_box_index,rgb_center_x_norm,rgb_center_y_norm,thermal_center_x_norm,thermal_center_y_norm,center_displacement_norm,width_difference_norm,height_difference_norm,class_id
5,6,1,0,0.661725,0.362533,0.721484,0.340278,0.06376851186910354,0.026563000000000003,0.0027779999999999958,0
5,6,2,2,0.431698,0.401483,0.410937,0.466667,0.06841032799950607,0.0039059999999999997,0.006944000000000006,0
5,6,3,1,0.451562,0.492361,0.36875,0.371528,0.1464870002184494,0.004688000000000001,0.0027780000000000027,0
6,7,0,2,0.518396,0.581269,0.497656,0.555556,0.03303492044791388,0.0125,0.004166999999999997,0
6,7,1,3,0.648444,0.373644,0.700781,0.347917,0.05831843703324015,0.013282000000000002,0.018055,0
6,7,2,0,0.431698,0.401483,0.379127,0.375943,0.058446570823274153,0.002344000000000006,0.0027780000000000027,0
6,7,3,1,0.458593,0.486805,0.420274,0.46869,0.042385126943304055,0.006249999999999995,0.006944000000000006,0
7,8,0,2,0.507459,0.560435,0.482812,0.538889,0.03273690157910491,0.0125,0.004166999999999997,0
7,8,1,0,0.443417,0.404261,0.392408,0.380109,0.05643790556886393,0.002344000000000006,0.0027780000000000027,0
7,8,2,1,0.464062,0.484028,0.429649,0.467301,0.03826286839744242,0.006249999999999995,0.006944000000000006,0
7,8,3,3,0.634766,0.379167,0.683594,0.353472,0.05517614166467239,0.022657,0.0013889999999999944,0
8,9,0,0,0.493396,0.546546,0.465371,0.519177,0.03917221956948572,0.0125,0.004166999999999997,0
8,9,1,1,0.470312,0.485417,0.430469,0.454861,0.05021089309104151,0.0031249999999999993,0.008333,0
8,9,2,3,0.623828,0.3875,0.669141,0.357639,0.054267368556066876,0.015625000000000003,0.0013890000000000013,0
8,9,3,2,0.444141,0.408333,0.392188,0.379167,0.05957994431853729,0.007030999999999999,0.0027780000000000027,0
9,10,0,3,0.615234,0.384722,0.649219,0.338889,0.05705825193606972,0.010156000000000002,0.0,0
9,10,1,1,0.444141,0.408333,0.431797,0.45203,0.04540707153076489,0.008593,0.0013880000000000003,0
9,10,2,0,0.485156,0.529861,0.46027,0.499473,0.039277774122269196,0.018750000000000003,0.015278,0
9,10,3,2,0.464844,0.479167,0.391436,0.390809,0.11487328074012683,0.0078119999999999995,0.008333,0
10,11,0,3,0.598828,0.3625,0.611328,0.295833,0.06782874677450554,0.009374999999999998,0.0027769999999999948,0
10,11,1,0,0.445703,0.425,0.428068,0.470827,0.049103025914906714,0.008593,0.0013880000000000003,0
10,11,2,2,0.484375,0.524306,0.45,0.504861,0.03949365328758535,0.015625,0.0027779999999999958,0
10,11,3,1,0.467187,0.483333,0.380607,0.413558,0.11119643440776333,0.0078119999999999995,0.008333,0
11,12,0,3,0.564062,0.317361,0.551172,0.257639,0.06109721257144223,0.011719,0.0027779999999999958,0
11,12,1,1,0.432031,0.464583,0.425781,0.493056,0.029150887276376308,0.0125,0.004166999999999997,0
11,12,2,2,0.465625,0.50625,0.450781,0.516667,0.018134448571710166,0.010937000000000002,0.0013890000000000013,0
11,12,3,0,0.479688,0.536806,0.369922,0.461806,0.13294199771328852,0.013281000000000001,0.008334000000000001,0
12,13,0,3,0.528516,0.294444,0.524609,0.247917,0.04669075259620473,0.007813,0.006945,0
12,13,1,2,0.483594,0.545833,0.452344,0.527778,0.0360907955717244,0.010937000000000002,0.0027770000000000017,0
12,13,2,1,0.469141,0.526389,0.430469,0.511111,0.0415805347247964,0.014844,0.0055559999999999984,0
12,13,3,0,0.432813,0.506944,0.371484,0.495139,0.06245481779654794,0.013281000000000001,0.0013890000000000013,0
13,14,0,2,0.525391,0.297917,0.519922,0.252083,0.04615913254167586,0.004686999999999997,0.0,0
13,14,1,0,0.433594,0.511111,0.428019,0.508377,0.006209297947433352,0.014062000000000002,0.0055559999999999984,0
13,14,2,1,0.469922,0.528472,0.449486,0.525834,0.020605560899912445,0.013281000000000001,0.0013890000000000013,0
13,14,3,3,0.482422,0.545833,0.377734,0.489583,0.1188429208829874,0.014062999999999999,0.015278,0
14,15,0,3,0.525391,0.297917,0.520312,0.253472,0.04473426277474573,0.010155999999999998,0.013888999999999999,0
14,15,1,0,0.433594,0.511111,0.425581,0.505497,0.00978392380387337,0.014062000000000002,0.0055559999999999984,0
14,15,2,1,0.469922,0.528472,0.448562,0.522442,0.022194830479190436,0.013281000000000001,0.0013890000000000013,0
14,15,3,2,0.482422,0.545833,0.381859,0.487518,0.116247822319388,0.014062999999999999,0.015278,0
15,16,0,3,0.525906,0.306138,0.525,0.261806,0.04434125686085142,0.010155999999999998,0.013888999999999999,0
15,16,1,0,0.441584,0.511498,0.438081,0.499942,0.012075269976277968,0.014062000000000002,0.0055559999999999984,0
15,16,2,1,0.47385,0.526689,0.450124,0.526609,0.02372613487275158,0.013281000000000001,0.0013890000000000013,0
15,16,3,2,0.480113,0.544963,0.388109,0.493073,0.10562815967345074,0.014062999999999999,0.015278,0
16,17,0,3,0.528906,0.3125,0.525,0.261806,0.05084425702082784,0.0125,0.018055999999999996,0
16,17,1,0,0.446094,0.50625,0.446675,0.498553,0.007718896941921125,0.014062000000000002,0.006945,0
16,17,2,1,0.476562,0.522917,0.451687,0.523831,0.02489178621553703,0.014063,0.009722000000000001,0
16,17,3,2,0.481641,0.544444,0.398265,0.488907,0.10017941777131671,0.014062999999999999,0.015278,0
17,18,0,3,0.528906,0.317361,0.529688,0.26875,0.04861728956862982,0.0125,0.016666999999999994,0
17,18,1,0,0.449219,0.509722,0.446675,0.498553,0.011455064251238383,0.01875,0.011111,0
17,18,2,1,0.479297,0.521528,0.457156,0.521053,0.02214609459927412,0.013281000000000001,0.009722000000000001,0
17,18,3,2,0.484766,0.543056,0.402953,0.487518,0.09888294298310499,0.010938,0.015278,0
18,19,0,3,0.528906,0.320139,0.528125,0.275694,0.04445186144583825,0.007813,0.0027780000000000027,0
18,19,1,1,0.453906,0.511806,0.460938,0.516667,0.008548587310193456,0.0078119999999999995,0.0125,0
18,19,2,2,0.482031,0.51875,0.453516,0.498611,0.034909662645176066,0.016406999999999998,0.0013890000000000013,0
18,19,3,0,0.484766,0.536806,0.410156,0.490278,0.0879289877344212,0.007030999999999999,0.015278,0
19,20,0,2,0.526563,0.322917,0.528125,0.275694,0.0472488261547311,0.009375000000000001,0.005555000000000004,0
19,20,1,0,0.458203,0.510417,0.460938,0.516667,0.006822222878212031,0.005468000000000001,0.009722999999999999,0
19,20,2,1,0.480078,0.522222,0.453516,0.498611,0.03553898092236184,0.015625,0.0,0
19,20,3,3,0.489453,0.536111,0.41875,0.488889,0.08502253520684973,0.014844000000000001,0.0055559999999999984,0
20,21,0,2,0.530469,0.325694,0.528125,0.275694,0.05005491320539872,0.009375000000000001,0.005555000000000004,0
20,21,1,0,0.460547,0.510417,0.460938,0.516667,0.006262218536589069,0.005468000000000001,0.009722999999999999,0
20,21,2,1,0.484766,0.519444,0.453516,0.498611,0.037557640887041874,0.015625,0.0,0
20,21,3,3,0.489453,0.534722,0.421094,0.490278,0.08153662990950757,0.014844000000000001,0.0055559999999999984,0
21,22,0,3,0.528091,0.328571,0.524609,0.282639,0.04606379215826681,0.0070310000000000025,0.008333,0
21,22,1,0,0.463776,0.51314,0.460091,0.517457,0.005675888829073304,0.005468000000000001,0.009722999999999999,0
21,22,2,1,0.482676,0.524621,0.452647,0.499352,0.03924618710142423,0.015625,0.0,0
21,22,3,2,0.487815,0.539626,0.420749,0.490609,0.08306933637028771,0.014844000000000001,0.0055559999999999984,0
22,23,0,3,0.527859,0.327356,0.521875,0.283333,0.044427837950996425,0.010937000000000002,0.009722000000000001,0
22,23,1,0,0.463566,0.514953,0.458594,0.518364,0.006029569221760384,0.005468000000000001,0.009722999999999999,0
22,23,2,1,0.481284,0.518876,0.451155,0.500347,0.035370616081713956,0.015625,0.0,0
22,23,3,2,0.486328,0.540972,0.422437,0.496625,0.07777349349232036,0.010156000000000002,0.006945,0
23,24,0,3,0.524475,0.330906,0.517969,0.285417,0.045951900472124114,0.012499000000000003,0.008333,0
23,24,1,0,0.461803,0.52064,0.456806,0.519042,0.005246295168974031,0.005468000000000001,0.009722999999999999,0
23,24,2,1,0.478664,0.522815,0.449405,0.501233,0.0363575549920508,0.015625,0.0,0
23,24,3,2,0.484914,0.542996,0.421743,0.497362,0.07792969393626543,0.010156000000000002,0.006945,0
24,25,0,1,0.520656,0.331903,0.447084,0.501721,0.18507023614833368,0.013281000000000001,0.0013889999999999979,0
24,25,1,0,0.461479,0.521056,0.44496,0.520562,0.01652638487389176,0.005468000000000001,0.009722999999999999,0
24,25,2,2,0.476623,0.52546,0.421115,0.496765,0.06248632721643993,0.013281000000000001,0.0027779999999999992,0
25,26,0,3,0.518895,0.331854,0.50625,0.284722,0.04879878532299755,0.014062000000000002,0.004166000000000003,0
25,26,1,2,0.462622,0.519249,0.441406,0.520833,0.021275049048122035,0.008594000000000001,0.006945,0
25,26,2,1,0.473312,0.52601,0.436328,0.502083,0.044049036141554816,0.0078119999999999995,0.0013890000000000013,0
25,26,3,0,0.479983,0.545587,0.420312,0.495139,0.07813852407743573,0.0007810000000000004,0.0,0
26,27,0,3,0.514111,0.32897,0.502734,0.286111,0.0443433197900202,0.011718000000000003,0.004166000000000003,0
26,27,1,2,0.462496,0.519087,0.437109,0.523611,0.025786941365737823,0.006250000000000002,0.006945,0
26,27,2,1,0.469462,0.526274,0.431641,0.508333,0.041860572404113144,0.004687,0.0,0
26,27,3,0,0.474821,0.541975,0.419922,0.495833,0.0717146035685898,0.0015620000000000009,0.009722000000000001,0
27,28,0,3,0.509875,0.331721,0.497656,0.288889,0.0445408148219136,0.006250000000000002,0.004166999999999997,0
27,28,1,2,0.458185,0.519234,0.431641,0.522917,0.026798291456732844,0.0015620000000000009,0.008333999999999998,0
27,28,2,1,0.464155,0.527292,0.424609,0.509028,0.043559841735249634,0.006250000000000002,0.0013890000000000013,0
27,28,3,0,0.472419,0.546934,0.415625,0.49375,0.077808073437144,0.0070310000000000025,0.0055559999999999984,0
28,29,0,3,0.508214,0.332101,0.497656,0.288889,0.04448312385613221,0.006250000000000002,0.004166999999999997,0
28,29,1,2,0.456657,0.515444,0.426172,0.525694,0.03216205411661386,0.0015620000000000009,0.008333999999999998,0
28,29,2,1,0.46345,0.528273,0.420703,0.511806,0.045809039479124625,0.006250000000000002,0.0013890000000000013,0
28,29,3,0,0.468179,0.544131,0.413281,0.497917,0.07176018533978297,0.0070310000000000025,0.0055559999999999984,0
29,30,0,0,0.508214,0.332101,0.491016,0.286806,0.048450059122770936,0.005468000000000001,0.0027770000000000017,0
29,30,1,3,0.456657,0.515444,0.425781,0.524306,0.03212261539787815,0.005468000000000001,0.0027779999999999992,0
29,30,2,2,0.46345,0.528273,0.417969,0.509028,0.049385133248782444,0.005468000000000001,0.0013890000000000013,0
29,30,3,1,0.468179,0.544131,0.407813,0.498611,0.07560505509554241,0.0023430000000000013,0.0013890000000000013,0
30,31,0,0,0.503526,0.334878,0.489618,0.286793,0.05005596556855137,0.005468000000000001,0.0027770000000000017,0
30,31,1,3,0.453532,0.519611,0.425077,0.524297,0.028838266608796032,0.005468000000000001,0.0027779999999999992,0
30,31,2,2,0.461888,0.529662,0.417348,0.509119,0.04904922475432207,0.005468000000000001,0.0013890000000000013,0
30,31,3,1,0.464273,0.546908,0.406974,0.498935,0.07473007513712261,0.0023430000000000013,0.0013890000000000013,0
31,32,0,0,0.502361,0.337179,0.489036,0.286586,0.05231832636849155,0.005468000000000001,0.0027770000000000017,0
31,32,1,3,0.452586,0.521365,0.424605,0.524401,0.02814522440841428,0.005468000000000001,0.0027779999999999992,0
31,32,2,2,0.460655,0.528718,0.41721,0.508893,0.047754566797323116,0.005468000000000001,0.0013890000000000013,0
31,32,3,1,0.463132,0.548773,0.406742,0.497599,0.0761486071835854,0.0023430000000000013,0.0013890000000000013,0
32,33,0,0,0.504847,0.335609,0.488975,0.286113,0.051978595594725334,0.005468000000000001,0.0027770000000000017,0
32,33,1,3,0.453729,0.52334,0.424734,0.523834,0.02899920793745925,0.005468000000000001,0.0027779999999999992,0
32,33,2,2,0.461417,0.530711,0.417152,0.508375,0.04958111657677751,0.005468000000000001,0.0013890000000000013,0
32,33,3,1,0.463363,0.545265,0.406758,0.497552,0.07403145543618606,0.0023430000000000013,0.0013890000000000013,0
33,34,0,0,0.503782,0.334607,0.482031,0.288889,0.05062846556039395,0.006250000000000002,0.004166000000000003,0
33,34,1,3,0.451354,0.521921,0.428516,0.529861,0.024178871851267162,0.0031249999999999993,0.008333999999999998,0
33,34,2,2,0.462228,0.527155,0.421094,0.514583,0.04301233706740429,0.007030999999999999,0.0041659999999999996,0
33,34,3,1,0.467283,0.543298,0.407422,0.505556,0.0707657960105021,0.0015620000000000009,0.0041670000000000006,0
34,35,0,0,0.4875,0.336111,0.435937,0.3,0.06295035575753323,0.010938,0.0,0
34,35,1,3,0.457031,0.540278,0.45,0.547917,0.010382161720951922,0.006250999999999998,0.0013890000000000013,0
34,35,2,2,0.467187,0.540972,0.435156,0.534028,0.03277505296715785,0.004687999999999998,0.013888999999999999,0
34,35,3,1,0.473437,0.554861,0.419141,0.536111,0.05744230249563472,0.003906999999999999,0.009722000000000001,0
35,36,0,0,0.461719,0.355556,0.420703,0.317361,0.056046144211711814,0.0023430000000000013,0.015278,0
35,36,1,3,0.467969,0.565972,0.464453,0.559028,0.007783404910448961,0.005469,0.008333,0
35,36,2,2,0.479688,0.559722,0.452344,0.546528,0.03036076369263461,0.009374999999999998,0.0013889999999999979,0
35,36,3,1,0.4875,0.566667,0.430469,0.550694,0.0592255999547493,0.007812999999999999,0.009722999999999999,0
36,37,0,0,0.463672,0.363194,0.427734,0.332639,0.04717147304250736,0.0031250000000000028,0.008333000000000004,0
36,37,1,3,0.470703,0.573611,0.473047,0.572917,0.0024445801275474735,0.003125000000000001,0.006945,0
36,37,2,2,0.483984,0.566667,0.460156,0.56875,0.02391887273681602,0.007030999999999999,0.006943999999999999,0
36,37,3,1,0.494531,0.573611,0.435156,0.573611,0.05937500000000001,0.007812999999999999,0.008334000000000001,0
37,38,0,0,0.46875,0.386806,0.430859,0.374306,0.039899597504235544,0.0023430000000000013,0.0055559999999999984,0
37,38,1,2,0.473828,0.597917,0.471484,0.602083,0.004780156064397906,0.0125,0.0,0
37,38,2,3,0.489062,0.590278,0.484766,0.613194,0.023315202594015826,0.0039059999999999997,0.0013889999999999979,0
37,38,3,1,0.499609,0.599306,0.444922,0.607639,0.0553182326001112,0.0078119999999999995,0.0027770000000000017,0
38,39,0,0,0.469922,0.429167,0.442187,0.427083,0.027813185380319183,0.002343999999999999,0.006944000000000002,0
38,39,1,2,0.480078,0.638194,0.482422,0.65625,0.018207511416994872,0.00625,0.0,0
38,39,2,3,0.496875,0.635417,0.499219,0.663194,0.02787572537172794,0.0015629999999999984,0.0,0
38,39,3,1,0.507031,0.638194,0.454297,0.654861,0.05530518642044343,0.005469,0.0,0
39,40,0,0,0.476953,0.485417,0.452734,0.491667,0.025012446121881002,0.004687,0.004166999999999997,0
39,40,1,2,0.483594,0.690278,0.492969,0.718056,0.029317365314775537,0.0078119999999999995,0.0027779999999999958,0
39,40,2,3,0.503906,0.690972,0.508984,0.723611,0.033031657618109306,0.000781999999999998,0.0013880000000000003,0
39,40,3,1,0.513672,0.69375,0.458594,0.720139,0.06107344271448926,0.010155999999999998,0.008333000000000004,0
40,41,0,0,0.483594,0.545139,0.464063,0.563194,0.026597800397777226,0.006249999999999999,0.008333000000000004,0
40,41,1,2,0.4875,0.757639,0.501562,0.786806,0.03237983528370708,0.007812999999999999,0.0027780000000000027,0
40,41,2,3,0.509766,0.748611,0.519141,0.793056,0.04542299692886847,0.0046879999999999995,0.0,0
40,41,3,1,0.520703,0.759028,0.465625,0.790972,0.0636710705108686,0.013282,0.005555000000000004,0
41,42,0,0,0.491406,0.609028,0.475391,0.632639,0.02852997627058244,0.0039059999999999997,0.0027780000000000027,0
41,42,1,2,0.491797,0.825,0.515234,0.857639,0.04018205183909857,0.004688000000000001,0.0013890000000000013,0
41,42,2,3,0.516797,0.820139,0.53125,0.859722,0.04213909227783631,0.002343999999999999,0.0013890000000000013,0
41,42,3,1,0.529688,0.823611,0.472656,0.861111,0.06825612810583385,0.009374999999999998,0.0027779999999999958,0
42,43,0,0,0.499609,0.673611,0.497266,0.700694,0.027184159689054292,0.004687,0.009722000000000001,0
42,43,1,1,0.501562,0.892361,0.495703,0.928472,0.03658322295807191,0.008594,0.0055559999999999984,0
42,43,2,2,0.53125,0.884028,0.543359,0.920139,0.03808716584362771,0.0007810000000000004,0.0027770000000000017,0
42,43,3,3,0.542188,0.8875,0.560938,0.920833,0.038244625622432304,0.0046879999999999995,0.005556000000000005,0
43,44,0,0,0.517187,0.725,0.5375,0.747917,0.030623632344971827,0.0031240000000000018,0.006945,0
43,44,1,1,0.524609,0.944444,0.549609,0.972222,0.037371343085310774,0.0015620000000000009,0.0027780000000000027,0
43,44,2,2,0.559375,0.933333,0.601172,0.956944,0.04800488027273903,0.0023440000000000023,0.005556000000000005,0
43,44,3,3,0.571484,0.936111,0.619922,0.958333,0.05329218636911041,0.003125000000000001,0.0027780000000000027,0
44,45,0,2,0.553906,0.759028,0.607031,0.764583,0.05341463891107004,0.0031249999999999993,0.0027779999999999958,0
44,45,1,0,0.577344,0.976389,0.647656,0.978472,0.07034284777431182,0.017187000000000004,0.0013889999999999944,0
44,45,2,3,0.613672,0.952083,0.704297,0.947222,0.0907552750312619,0.0031249999999999993,0.009722000000000001,0
44,45,3,1,0.626953,0.949306,0.725,0.94375,0.0982042939234329,0.0023440000000000006,0.0,0
45,46,0,0,0.610937,0.750694,0.697656,0.714583,0.09393715602465309,0.007812000000000003,0.008334000000000001,0
45,46,1,1,0.671094,0.939583,0.799219,0.902083,0.13350005852058647,0.012501,0.0027770000000000017,0
45,46,2,2,0.701563,0.901389,0.838281,0.836806,0.15120441598379328,0.004688000000000001,0.0013890000000000013,0
45,46,3,3,0.712891,0.896528,0.858984,0.829167,0.16087469959567904,0.010936999999999999,0.004166999999999997,0
46,47,0,0,0.663672,0.661111,0.762109,0.600694,0.11549916388441955,0.009375000000000001,0.009722000000000001,0
46,47,1,1,0.758203,0.821528,0.912109,0.736111,0.17602022816994645,0.015625,0.0013890000000000013,0
46,47,2,2,0.779297,0.752778,0.936328,0.654167,0.18542616935589212,0.006250000000000002,0.008334000000000001,0
46,47,3,3,0.783594,0.733333,0.941016,0.627778,0.189535073558959,0.003907000000000001,0.008333,0
47,48,0,0,0.689844,0.547917,0.788672,0.466667,0.12793957981797505,0.005469000000000002,0.0013880000000000003,0
47,48,1,1,0.811328,0.642361,0.965625,0.533333,0.1889303284097076,0.0023440000000000023,0.0013890000000000013,0
47,48,2,2,0.815625,0.559028,0.960547,0.436806,0.1895800711256328,0.008592999999999996,0.0027770000000000017,0
47,48,3,3,0.818359,0.535417,0.964844,0.409028,0.19347360167733488,0.0039059999999999997,0.005555000000000001,0
48,49,0,0,0.692969,0.420139,0.767969,0.3125,0.1311912890438996,0.007812000000000003,0.009722000000000001,0
48,49,1,3,0.827344,0.4375,0.95,0.281944,0.19809634896181202,0.009375000000000001,0.0027780000000000027,0
48,49,2,1,0.8125,0.353472,0.917188,0.195139,0.18981284527923817,0.007812000000000003,0.0027779999999999992,0
48,49,3,2,0.814062,0.330556,0.916797,0.168056,0.19225173659813846,0.0039059999999999997,0.0,0
49,50,0,0,0.667188,0.295139,0.707812,0.184722,0.11765297813910193,0.014062000000000002,0.006945,0
49,50,1,1,0.794531,0.227083,0.867969,0.069444,0.17390570480866924,0.0015620000000000009,0.009722000000000001,0
49,50,2,2,0.769141,0.154861,0.808203,0.016667,0.14360857035706467,0.007813,0.006945,0
50,51,0,0,0.618359,0.193056,0.608984,0.094444,0.09905663616840621,0.0015619999999999974,0.0,0
51,52,0,0,0.546875,0.132639,0.548437,0.067361,0.06529668542889447,0.0015629999999999984,0.0027779999999999958,0
52,53,0,0,0.541999,0.127557,0.545703,0.065278,0.06238904917531602,0.000780999999999997,0.0013890000000000013,0
53,54,0,0,0.537398,0.125436,0.545313,0.111111,0.016366210618221917,0.0015630000000000019,0.012499999999999997,0
54,55,0,1,0.540104,0.243525,0.539062,0.280556,0.03704565730284729,0.006249999999999999,0.004166999999999997,0
54,55,1,0,0.599609,0.040278,0.626172,0.077778,0.04595479266627149,0.0031249999999999993,0.008334000000000001,0
54,55,2,3,0.552344,0.035417,0.539844,0.063889,0.03109509260317453,0.0046879999999999995,0.015278,0
54,55,3,2,0.541797,0.027778,0.555469,0.073611,0.047828730622921624,0.005468999999999998,0.005556000000000005,0
55,56,0,1,0.533984,0.386111,0.536719,0.420833,0.03482954936544545,0.0007810000000000004,0.0027780000000000027,0
55,56,1,0,0.593359,0.2,0.620313,0.228472,0.03920679660467049,0.000781999999999998,0.004167000000000004,0
55,56,2,2,0.547266,0.186806,0.535156,0.210417,0.02653547476492556,0.005468999999999998,0.008333,0
55,56,3,3,0.536719,0.186111,0.550391,0.220139,0.03667190161417868,0.005468999999999998,0.0013890000000000013,0
56,57,0,1,0.585156,0.338194,0.612109,0.364583,0.03772059821901026,0.007031999999999998,0.011111000000000003,0
56,57,1,3,0.542188,0.328472,0.530078,0.35,0.024700341779011856,0.0039059999999999997,0.015278,0
56,57,2,2,0.531641,0.328472,0.544922,0.359722,0.03395508004702683,0.00625,0.0013889999999999944,0
56,57,3,0,0.532812,0.511806,0.53125,0.558333,0.04655321227369814,0.007813,0.012499999999999997,0
57,58,0,0,0.580078,0.459722,0.603906,0.489583,0.0382027866130208,0.007031000000000001,0.012499999999999997,0
57,58,1,3,0.538281,0.452778,0.525391,0.475,0.025689869287327978,0.005469,0.008333,0
57,58,2,2,0.527344,0.449306,0.539062,0.486806,0.039288185552402426,0.0046879999999999995,0.011111000000000003,0
57,58,3,1,0.533203,0.627778,0.526563,0.679167,0.05181620326693187,0.0007810000000000004,0.011111000000000003,0
58,59,0,1,0.527344,0.735417,0.520703,0.765972,0.03126836909722028,0.005469,0.0055549999999999974,0
58,59,1,0,0.572656,0.569444,0.594531,0.586806,0.027927668520662488,0.0031249999999999993,0.006943999999999999,0
58,59,2,3,0.532812,0.5625,0.518359,0.574306,0.01866201610223284,0.002343999999999999,0.015278,0
58,59,3,2,0.523047,0.5625,0.531641,0.582639,0.02189603062201002,0.007812999999999999,0.009723000000000002,0
59,60,0,3,0.524484,0.73483,0.513281,0.697222,0.03924116299244961,0.0046879999999999995,0.012499999999999997,0
59,60,1,0,0.567833,0.578444,0.583594,0.528472,0.05239856777622827,0.009374999999999998,0.004165999999999996,0
59,60,2,1,0.520393,0.569648,0.523047,0.522917,0.04680630381690064,0.003906999999999999,0.009722000000000001,0
59,60,3,2,0.527773,0.56789,0.513672,0.516667,0.05312846628691631,0.0046879999999999995,0.0055549999999999974,0
60,61,0,3,0.516406,0.649306,0.504297,0.597917,0.05279637489449444,0.005469,0.013888999999999999,0
60,61,1,1,0.523438,0.504861,0.515234,0.439583,0.06579151085056491,0.007031000000000001,0.0,0
60,61,2,0,0.559375,0.507639,0.573438,0.44375,0.06541843998445697,0.0046879999999999995,0.016666,0
60,61,3,2,0.515625,0.501389,0.503516,0.427083,0.07528618410438928,0.007031999999999999,0.0013890000000000013,0
61,62,0,1,0.510938,0.570139,0.495313,0.553472,0.02284577672131109,0.014062999999999999,0.025,0
61,62,1,0,0.554297,0.440278,0.561719,0.407639,0.033472233343474427,0.005469,0.009722000000000001,0
61,62,2,2,0.519141,0.439583,0.505469,0.408333,0.03410991181460311,0.0039060000000000015,0.009723000000000002,0
61,62,3,3,0.512109,0.434722,0.494531,0.400694,0.038300011331591034,0.0023440000000000006,0.004166000000000003,0
62,63,0,1,0.505469,0.620139,0.487891,0.665278,0.04844084438776848,0.011719000000000002,0.0013880000000000003,0
62,63,1,0,0.548047,0.497222,0.553125,0.532639,0.03577918351499931,0.0007810000000000004,0.0013890000000000013,0
62,63,2,2,0.515234,0.493056,0.500391,0.534722,0.04423087388917385,0.007812000000000001,0.005556000000000005,0
62,63,3,3,0.507812,0.488194,0.489453,0.529861,0.04553231566700733,0.0023439999999999997,0.0,0
63,64,0,0,0.542188,0.589583,0.544141,0.647222,0.05767207755924872,0.005469,0.004166999999999997,0
63,64,1,1,0.504297,0.70625,0.484766,0.763889,0.06085814885452892,0.003125000000000001,0.012499999999999997,0
63,64,2,2,0.510938,0.590972,0.495313,0.644444,0.055708126956486304,0.003125,0.004167000000000004,0
63,64,3,3,0.504687,0.588194,0.485547,0.644444,0.059417186907493376,0.005469,0.009722000000000001,0
64,65,0,0,0.538281,0.745139,0.539453,0.782639,0.037518309983260154,0.003907,0.0055549999999999974,0
64,65,1,3,0.506641,0.743056,0.480859,0.776389,0.0421402469499171,0.003125,0.0,0
64,65,2,2,0.500781,0.740972,0.490234,0.782639,0.04298113653685767,0.0023440000000000006,0.013888999999999999,0
64,65,3,1,0.499609,0.859028,0.481641,0.894444,0.03971324816733078,0.004688,0.0013890000000000013,0
65,66,0,2,0.503906,0.753472,0.486719,0.734722,0.025435319321762014,0.0062499999999999995,0.004166000000000003,0
65,66,1,0,0.533203,0.753472,0.530469,0.732639,0.021011631183703937,0.008594000000000001,0.0027779999999999958,0
