recording_name,recording_path,collection_context,modality,image_count,partition,cv_fold
210812_Hannegan_Enterprise_VIS_0053,210812_Hannegan_Enterprise_VIS_0053,210812_Hannegan_Enterprise,VIS,715,test,
210812_Hannegan_Enterprise_VIS_0055,210812_Hannegan_Enterprise_VIS_0055,210812_Hannegan_Enterprise,VIS,422,test,
210924_FHL_Enterprise_IR_0127,210924_FHL_Enterprise_IR_0127,210924_FHL_Enterprise,IR,1008,development,
210924_FHL_Enterprise_IR_0135,210924_FHL_Enterprise_IR_0135,210924_FHL_Enterprise,IR,273,development,
210924_FHL_Enterprise_IR_0402,210924_FHL_Enterprise_IR_0402,210924_FHL_Enterprise,IR,896,development,
210924_FHL_Enterprise_IR_0404,210924_FHL_Enterprise_IR_0404,210924_FHL_Enterprise,IR,1417,development,
210924_FHL_Enterprise_IR_0406,210924_FHL_Enterprise_IR_0406,210924_FHL_Enterprise,IR,943,development,
210924_FHL_Enterprise_IR_0408,210924_FHL_Enterprise_IR_0408,210924_FHL_Enterprise,IR,1035,development,
210924_FHL_Enterprise_IR_0410,210924_FHL_Enterprise_IR_0410,210924_FHL_Enterprise,IR,1299,development,
210924_FHL_Enterprise_IR_0565,210924_FHL_Enterprise_IR_0565,210924_FHL_Enterprise,IR,982,development,
210924_FHL_Enterprise_IR_0567,210924_FHL_Enterprise_IR_0567,210924_FHL_Enterprise,IR,909,development,
210924_FHL_Enterprise_VIS_0126,210924_FHL_Enterprise_VIS_0126,210924_FHL_Enterprise,VIS,1006,development,
210924_FHL_Enterprise_VIS_0134,210924_FHL_Enterprise_VIS_0134,210924_FHL_Enterprise,VIS,273,development,
210924_FHL_Enterprise_VIS_0401,210924_FHL_Enterprise_VIS_0401,210924_FHL_Enterprise,VIS,897,development,
210924_FHL_Enterprise_VIS_0403,210924_FHL_Enterprise_VIS_0403,210924_FHL_Enterprise,VIS,1417,development,
210924_FHL_Enterprise_VIS_0405,210924_FHL_Enterprise_VIS_0405,210924_FHL_Enterprise,VIS,945,development,
210924_FHL_Enterprise_VIS_0407,210924_FHL_Enterprise_VIS_0407,210924_FHL_Enterprise,VIS,1035,development,
210924_FHL_Enterprise_VIS_0409,210924_FHL_Enterprise_VIS_0409,210924_FHL_Enterprise,VIS,1300,development,
210924_FHL_Enterprise_VIS_0564,210924_FHL_Enterprise_VIS_0564,210924_FHL_Enterprise,VIS,983,development,
210924_FHL_Enterprise_VIS_0566,210924_FHL_Enterprise_VIS_0566,210924_FHL_Enterprise,VIS,909,development,
220109_Baker_Enterprise_IR_1,220109_Baker_Enterprise_IR_1,220109_Baker_Enterprise,IR,2180,development,
220109_Baker_Enterprise_IR_2,220109_Baker_Enterprise_IR_2,220109_Baker_Enterprise,IR,609,development,
220109_Baker_Enterprise_VIS_1,220109_Baker_Enterprise_VIS_1,220109_Baker_Enterprise,VIS,2180,development,
