split,frame_id,image_path,annotation_path,object_count
train,14,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000014.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000014.txt,4
train,15,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000015.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000015.txt,4
train,16,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000016.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000016.txt,4
train,17,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000017.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000017.txt,4
train,18,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000018.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000018.txt,4
train,19,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000019.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000019.txt,4
train,20,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000020.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000020.txt,4
train,21,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000021.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000021.txt,4
train,22,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000022.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000022.txt,4
train,23,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000023.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000023.txt,4
train,24,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000024.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000024.txt,4
train,25,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000025.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000025.txt,4
train,26,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000026.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000026.txt,4
train,27,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000027.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000027.txt,4
train,28,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000028.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000028.txt,4
train,29,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000029.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000029.txt,4
train,30,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000030.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000030.txt,4
train,31,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000031.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000031.txt,4
train,32,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000032.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000032.txt,4
train,33,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000033.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000033.txt,4
train,34,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000034.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000034.txt,4
train,35,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000035.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000035.txt,4
train,36,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000036.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000036.txt,4
train,37,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000037.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000037.txt,4
train,38,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000038.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000038.txt,4
train,39,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000039.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000039.txt,4
train,40,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000040.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000040.txt,4
train,41,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000041.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000041.txt,4
train,42,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000042.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000042.txt,4
train,43,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000043.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000043.txt,4
train,44,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000044.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000044.txt,4
train,45,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000045.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000045.txt,4
train,46,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000046.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000046.txt,4
train,47,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000047.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000047.txt,4
train,48,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000048.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000048.txt,4
train,49,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000049.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000049.txt,4
train,50,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000050.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000050.txt,3
train,51,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000051.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000051.txt,1
train,52,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000052.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000052.txt,1
train,53,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000053.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000053.txt,1
train,54,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000054.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000054.txt,4
train,55,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000055.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000055.txt,4
train,56,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000056.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000056.txt,4
train,57,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000057.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000057.txt,4
train,58,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000058.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000058.txt,4
train,59,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000059.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000059.txt,4
train,60,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000060.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000060.txt,4
train,61,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000061.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000061.txt,4
train,62,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000062.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000062.txt,4
train,63,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000063.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000063.txt,4
train,64,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000064.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000064.txt,4
train,65,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000065.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000065.txt,4
train,66,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000066.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000066.txt,4
train,67,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000067.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000067.txt,4
train,68,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000068.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000068.txt,4
train,69,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000069.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000069.txt,4
train,70,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000070.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000070.txt,4
train,71,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000071.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000071.txt,4
train,72,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000072.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000072.txt,4
train,73,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000073.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000073.txt,4
train,74,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000074.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000074.txt,4
train,75,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000075.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000075.txt,4
train,76,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000076.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000076.txt,4
train,77,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000077.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000077.txt,4
train,78,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000078.jpeg,D:\Hackathons\miniproject5sem\WiSARD_Multi_Modal_Sample\210417_MtErie_Enterprise_VIS_0003\210417_MtErie_Enterprise_VIS_0003_00000078.txt,4
