rgb_frame,thermal_frame,rgb_file,thermal_file,rgb_annotation,thermal_annotation,status
27,28,210417_MtErie_Enterprise_VIS_0003_00000027.jpeg,210417_MtErie_Enterprise_IR_0004_00000028.jpeg,210417_MtErie_Enterprise_VIS_0003_00000027.txt,210417_MtErie_Enterprise_IR_0004_00000028.txt,paired
28,29,210417_MtErie_Enterprise_VIS_0003_00000028.jpeg,210417_MtErie_Enterprise_IR_0004_00000029.jpeg,210417_MtErie_Enterprise_VIS_0003_00000028.txt,210417_MtErie_Enterprise_IR_0004_00000029.txt,paired
29,30,210417_MtErie_Enterprise_VIS_0003_00000029.jpeg,210417_MtErie_Enterprise_IR_0004_00000030.jpeg,210417_MtErie_Enterprise_VIS_0003_00000029.txt,210417_MtErie_Enterprise_IR_0004_00000030.txt,paired
30,31,210417_MtErie_Enterprise_VIS_0003_00000030.jpeg,210417_MtErie_Enterprise_IR_0004_00000031.jpeg,210417_MtErie_Enterprise_VIS_0003_00000030.txt,210417_MtErie_Enterprise_IR_0004_00000031.txt,paired
31,32,210417_MtErie_Enterprise_VIS_0003_00000031.jpeg,210417_MtErie_Enterprise_IR_0004_00000032.jpeg,210417_MtErie_Enterprise_VIS_0003_00000031.txt,210417_MtErie_Enterprise_IR_0004_00000032.txt,paired
32,33,210417_MtErie_Enterprise_VIS_0003_00000032.jpeg,210417_MtErie_Enterprise_IR_0004_00000033.jpeg,210417_MtErie_Enterprise_VIS_0003_00000032.txt,210417_MtErie_Enterprise_IR_0004_00000033.txt,paired
33,34,210417_MtErie_Enterprise_VIS_0003_00000033.jpeg,210417_MtErie_Enterprise_IR_0004_00000034.jpeg,210417_MtErie_Enterprise_VIS_0003_00000033.txt,210417_MtErie_Enterprise_IR_0004_00000034.txt,paired
34,35,210417_MtErie_Enterprise_VIS_0003_00000034.jpeg,210417_MtErie_Enterprise_IR_0004_00000035.jpeg,210417_MtErie_Enterprise_VIS_0003_00000034.txt,210417_MtErie_Enterprise_IR_0004_00000035.txt,paired
35,36,210417_MtErie_Enterprise_VIS_0003_00000035.jpeg,210417_MtErie_Enterprise_IR_0004_00000036.jpeg,210417_MtErie_Enterprise_VIS_0003_00000035.txt,210417_MtErie_Enterprise_IR_0004_00000036.txt,paired
36,37,210417_MtErie_Enterprise_VIS_0003_00000036.jpeg,210417_MtErie_Enterprise_IR_0004_00000037.jpeg,210417_MtErie_Enterprise_VIS_0003_00000036.txt,210417_MtErie_Enterprise_IR_0004_00000037.txt,paired
37,38,210417_MtErie_Enterprise_VIS_0003_00000037.jpeg,210417_MtErie_Enterprise_IR_0004_00000038.jpeg,210417_MtErie_Enterprise_VIS_0003_00000037.txt,210417_MtErie_Enterprise_IR_0004_00000038.txt,paired
38,39,210417_MtErie_Enterprise_VIS_0003_00000038.jpeg,210417_MtErie_Enterprise_IR_0004_00000039.jpeg,210417_MtErie_Enterprise_VIS_0003_00000038.txt,210417_MtErie_Enterprise_IR_0004_00000039.txt,paired
39,40,210417_MtErie_Enterprise_VIS_0003_00000039.jpeg,210417_MtErie_Enterprise_IR_0004_00000040.jpeg,210417_MtErie_Enterprise_VIS_0003_00000039.txt,210417_MtErie_Enterprise_IR_0004_00000040.txt,paired
40,41,210417_MtErie_Enterprise_VIS_0003_00000040.jpeg,210417_MtErie_Enterprise_IR_0004_00000041.jpeg,210417_MtErie_Enterprise_VIS_0003_00000040.txt,210417_MtErie_Enterprise_IR_0004_00000041.txt,paired
41,42,210417_MtErie_Enterprise_VIS_0003_00000041.jpeg,210417_MtErie_Enterprise_IR_0004_00000042.jpeg,210417_MtErie_Enterprise_VIS_0003_00000041.txt,210417_MtErie_Enterprise_IR_0004_00000042.txt,paired
42,43,210417_MtErie_Enterprise_VIS_0003_00000042.jpeg,210417_MtErie_Enterprise_IR_0004_00000043.jpeg,210417_MtErie_Enterprise_VIS_0003_00000042.txt,210417_MtErie_Enterprise_IR_0004_00000043.txt,paired
43,44,210417_MtErie_Enterprise_VIS_0003_00000043.jpeg,210417_MtErie_Enterprise_IR_0004_00000044.jpeg,210417_MtErie_Enterprise_VIS_0003_00000043.txt,210417_MtErie_Enterprise_IR_0004_00000044.txt,paired
44,45,210417_MtErie_Enterprise_VIS_0003_00000044.jpeg,210417_MtErie_Enterprise_IR_0004_00000045.jpeg,210417_MtErie_Enterprise_VIS_0003_00000044.txt,210417_MtErie_Enterprise_IR_0004_00000045.txt,paired
45,46,210417_MtErie_Enterprise_VIS_0003_00000045.jpeg,210417_MtErie_Enterprise_IR_0004_00000046.jpeg,210417_MtErie_Enterprise_VIS_0003_00000045.txt,210417_MtErie_Enterprise_IR_0004_00000046.txt,paired
46,47,210417_MtErie_Enterprise_VIS_0003_00000046.jpeg,210417_MtErie_Enterprise_IR_0004_00000047.jpeg,210417_MtErie_Enterprise_VIS_0003_00000046.txt,210417_MtErie_Enterprise_IR_0004_00000047.txt,paired
47,48,210417_MtErie_Enterprise_VIS_0003_00000047.jpeg,210417_MtErie_Enterprise_IR_0004_00000048.jpeg,210417_MtErie_Enterprise_VIS_0003_00000047.txt,210417_MtErie_Enterprise_IR_0004_00000048.txt,paired
48,49,210417_MtErie_Enterprise_VIS_0003_00000048.jpeg,210417_MtErie_Enterprise_IR_0004_00000049.jpeg,210417_MtErie_Enterprise_VIS_0003_00000048.txt,210417_MtErie_Enterprise_IR_0004_00000049.txt,paired
49,50,210417_MtErie_Enterprise_VIS_0003_00000049.jpeg,210417_MtErie_Enterprise_IR_0004_00000050.jpeg,210417_MtErie_Enterprise_VIS_0003_00000049.txt,210417_MtErie_Enterprise_IR_0004_00000050.txt,paired
50,51,210417_MtErie_Enterprise_VIS_0003_00000050.jpeg,210417_MtErie_Enterprise_IR_0004_00000051.jpeg,210417_MtErie_Enterprise_VIS_0003_00000050.txt,210417_MtErie_Enterprise_IR_0004_00000051.txt,paired
51,52,210417_MtErie_Enterprise_VIS_0003_00000051.jpeg,210417_MtErie_Enterprise_IR_0004_00000052.jpeg,210417_MtErie_Enterprise_VIS_0003_00000051.txt,210417_MtErie_Enterprise_IR_0004_00000052.txt,paired
52,53,210417_MtErie_Enterprise_VIS_0003_00000052.jpeg,210417_MtErie_Enterprise_IR_0004_00000053.jpeg,210417_MtErie_Enterprise_VIS_0003_00000052.txt,210417_MtErie_Enterprise_IR_0004_00000053.txt,paired
53,54,210417_MtErie_Enterprise_VIS_0003_00000053.jpeg,210417_MtErie_Enterprise_IR_0004_00000054.jpeg,210417_MtErie_Enterprise_VIS_0003_00000053.txt,210417_MtErie_Enterprise_IR_0004_00000054.txt,paired
54,55,210417_MtErie_Enterprise_VIS_0003_00000054.jpeg,210417_MtErie_Enterprise_IR_0004_00000055.jpeg,210417_MtErie_Enterprise_VIS_0003_00000054.txt,210417_MtErie_Enterprise_IR_0004_00000055.txt,paired
55,56,210417_MtErie_Enterprise_VIS_0003_00000055.jpeg,210417_MtErie_Enterprise_IR_0004_00000056.jpeg,210417_MtErie_Enterprise_VIS_0003_00000055.txt,210417_MtErie_Enterprise_IR_0004_00000056.txt,paired
56,57,210417_MtErie_Enterprise_VIS_0003_00000056.jpeg,210417_MtErie_Enterprise_IR_0004_00000057.jpeg,210417_MtErie_Enterprise_VIS_0003_00000056.txt,210417_MtErie_Enterprise_IR_0004_00000057.txt,paired
57,58,210417_MtErie_Enterprise_VIS_0003_00000057.jpeg,210417_MtErie_Enterprise_IR_0004_00000058.jpeg,210417_MtErie_Enterprise_VIS_0003_00000057.txt,210417_MtErie_Enterprise_IR_0004_00000058.txt,paired
58,59,210417_MtErie_Enterprise_VIS_0003_00000058.jpeg,210417_MtErie_Enterprise_IR_0004_00000059.jpeg,210417_MtErie_Enterprise_VIS_0003_00000058.txt,210417_MtErie_Enterprise_IR_0004_00000059.txt,paired
59,60,210417_MtErie_Enterprise_VIS_0003_00000059.jpeg,210417_MtErie_Enterprise_IR_0004_00000060.jpeg,210417_MtErie_Enterprise_VIS_0003_00000059.txt,210417_MtErie_Enterprise_IR_0004_00000060.txt,paired
60,61,210417_MtErie_Enterprise_VIS_0003_00000060.jpeg,210417_MtErie_Enterprise_IR_0004_00000061.jpeg,210417_MtErie_Enterprise_VIS_0003_00000060.txt,210417_MtErie_Enterprise_IR_0004_00000061.txt,paired
61,62,210417_MtErie_Enterprise_VIS_0003_00000061.jpeg,210417_MtErie_Enterprise_IR_0004_00000062.jpeg,210417_MtErie_Enterprise_VIS_0003_00000061.txt,210417_MtErie_Enterprise_IR_0004_00000062.txt,paired
62,63,210417_MtErie_Enterprise_VIS_0003_00000062.jpeg,210417_MtErie_Enterprise_IR_0004_00000063.jpeg,210417_MtErie_Enterprise_VIS_0003_00000062.txt,210417_MtErie_Enterprise_IR_0004_00000063.txt,paired
63,64,210417_MtErie_Enterprise_VIS_0003_00000063.jpeg,210417_MtErie_Enterprise_IR_0004_00000064.jpeg,210417_MtErie_Enterprise_VIS_0003_00000063.txt,210417_MtErie_Enterprise_IR_0004_00000064.txt,paired
64,65,210417_MtErie_Enterprise_VIS_0003_00000064.jpeg,210417_MtErie_Enterprise_IR_0004_00000065.jpeg,210417_MtErie_Enterprise_VIS_0003_00000064.txt,210417_MtErie_Enterprise_IR_0004_00000065.txt,paired
65,66,210417_MtErie_Enterprise_VIS_0003_00000065.jpeg,210417_MtErie_Enterprise_IR_0004_00000066.jpeg,210417_MtErie_Enterprise_VIS_0003_00000065.txt,210417_MtErie_Enterprise_IR_0004_00000066.txt,paired
66,67,210417_MtErie_Enterprise_VIS_0003_00000066.jpeg,210417_MtErie_Enterprise_IR_0004_00000067.jpeg,210417_MtErie_Enterprise_VIS_0003_00000066.txt,210417_MtErie_Enterprise_IR_0004_00000067.txt,paired
67,68,210417_MtErie_Enterprise_VIS_0003_00000067.jpeg,210417_MtErie_Enterprise_IR_0004_00000068.jpeg,210417_MtErie_Enterprise_VIS_0003_00000067.txt,210417_MtErie_Enterprise_IR_0004_00000068.txt,paired
68,69,210417_MtErie_Enterprise_VIS_0003_00000068.jpeg,210417_MtErie_Enterprise_IR_0004_00000069.jpeg,210417_MtErie_Enterprise_VIS_0003_00000068.txt,210417_MtErie_Enterprise_IR_0004_00000069.txt,paired
69,70,210417_MtErie_Enterprise_VIS_0003_00000069.jpeg,210417_MtErie_Enterprise_IR_0004_00000070.jpeg,210417_MtErie_Enterprise_VIS_0003_00000069.txt,210417_MtErie_Enterprise_IR_0004_00000070.txt,paired
70,71,210417_MtErie_Enterprise_VIS_0003_00000070.jpeg,210417_MtErie_Enterprise_IR_0004_00000071.jpeg,210417_MtErie_Enterprise_VIS_0003_00000070.txt,210417_MtErie_Enterprise_IR_0004_00000071.txt,paired
71,72,210417_MtErie_Enterprise_VIS_0003_00000071.jpeg,210417_MtErie_Enterprise_IR_0004_00000072.jpeg,210417_MtErie_Enterprise_VIS_0003_00000071.txt,210417_MtErie_Enterprise_IR_0004_00000072.txt,paired
72,73,210417_MtErie_Enterprise_VIS_0003_00000072.jpeg,210417_MtErie_Enterprise_IR_0004_00000073.jpeg,210417_MtErie_Enterprise_VIS_0003_00000072.txt,210417_MtErie_Enterprise_IR_0004_00000073.txt,paired
73,74,210417_MtErie_Enterprise_VIS_0003_00000073.jpeg,210417_MtErie_Enterprise_IR_0004_00000074.jpeg,210417_MtErie_Enterprise_VIS_0003_00000073.txt,210417_MtErie_Enterprise_IR_0004_00000074.txt,paired
74,75,210417_MtErie_Enterprise_VIS_0003_00000074.jpeg,210417_MtErie_Enterprise_IR_0004_00000075.jpeg,210417_MtErie_Enterprise_VIS_0003_00000074.txt,210417_MtErie_Enterprise_IR_0004_00000075.txt,paired
75,76,210417_MtErie_Enterprise_VIS_0003_00000075.jpeg,210417_MtErie_Enterprise_IR_0004_00000076.jpeg,210417_MtErie_Enterprise_VIS_0003_00000075.txt,210417_MtErie_Enterprise_IR_0004_00000076.txt,paired
76,77,210417_MtErie_Enterprise_VIS_0003_00000076.jpeg,210417_MtErie_Enterprise_IR_0004_00000077.jpeg,210417_MtErie_Enterprise_VIS_0003_00000076.txt,210417_MtErie_Enterprise_IR_0004_00000077.txt,paired
77,78,210417_MtErie_Enterprise_VIS_0003_00000077.jpeg,210417_MtErie_Enterprise_IR_0004_00000078.jpeg,210417_MtErie_Enterprise_VIS_0003_00000077.txt,210417_MtErie_Enterprise_IR_0004_00000078.txt,paired
78,79,210417_MtErie_Enterprise_VIS_0003_00000078.jpeg,210417_MtErie_Enterprise_IR_0004_00000079.jpeg,210417_MtErie_Enterprise_VIS_0003_00000078.txt,210417_MtErie_Enterprise_IR_0004_00000079.txt,paired
79,80,210417_MtErie_Enterprise_VIS_0003_00000079.jpeg,210417_MtErie_Enterprise_IR_0004_00000080.jpeg,210417_MtErie_Enterprise_VIS_0003_00000079.txt,210417_MtErie_Enterprise_IR_0004_00000080.txt,paired
80,81,210417_MtErie_Enterprise_VIS_0003_00000080.jpeg,210417_MtErie_Enterprise_IR_0004_00000081.jpeg,210417_MtErie_Enterprise_VIS_0003_00000080.txt,210417_MtErie_Enterprise_IR_0004_00000081.txt,paired
81,82,210417_MtErie_Enterprise_VIS_0003_00000081.jpeg,210417_MtErie_Enterprise_IR_0004_00000082.jpeg,210417_MtErie_Enterprise_VIS_0003_00000081.txt,210417_MtErie_Enterprise_IR_0004_00000082.txt,paired
82,83,210417_MtErie_Enterprise_VIS_0003_00000082.jpeg,210417_MtErie_Enterprise_IR_0004_00000083.jpeg,210417_MtErie_Enterprise_VIS_0003_00000082.txt,210417_MtErie_Enterprise_IR_0004_00000083.txt,paired
83,84,210417_MtErie_Enterprise_VIS_0003_00000083.jpeg,210417_MtErie_Enterprise_IR_0004_00000084.jpeg,210417_MtErie_Enterprise_VIS_0003_00000083.txt,210417_MtErie_Enterprise_IR_0004_00000084.txt,paired
84,85,210417_MtErie_Enterprise_VIS_0003_00000084.jpeg,210417_MtErie_Enterprise_IR_0004_00000085.jpeg,210417_MtErie_Enterprise_VIS_0003_00000084.txt,210417_MtErie_Enterprise_IR_0004_00000085.txt,paired
85,86,210417_MtErie_Enterprise_VIS_0003_00000085.jpeg,210417_MtErie_Enterprise_IR_0004_00000086.jpeg,210417_MtErie_Enterprise_VIS_0003_00000085.txt,210417_MtErie_Enterprise_IR_0004_00000086.txt,paired
86,87,210417_MtErie_Enterprise_VIS_0003_00000086.jpeg,210417_MtErie_Enterprise_IR_0004_00000087.jpeg,210417_MtErie_Enterprise_VIS_0003_00000086.txt,210417_MtErie_Enterprise_IR_0004_00000087.txt,paired
87,88,210417_MtErie_Enterprise_VIS_0003_00000087.jpeg,210417_MtErie_Enterprise_IR_0004_00000088.jpeg,210417_MtErie_Enterprise_VIS_0003_00000087.txt,210417_MtErie_Enterprise_IR_0004_00000088.txt,paired
88,89,210417_MtErie_Enterprise_VIS_0003_00000088.jpeg,210417_MtErie_Enterprise_IR_0004_00000089.jpeg,210417_MtErie_Enterprise_VIS_0003_00000088.txt,210417_MtErie_Enterprise_IR_0004_00000089.txt,paired
89,90,210417_MtErie_Enterprise_VIS_0003_00000089.jpeg,210417_MtErie_Enterprise_IR_0004_00000090.jpeg,210417_MtErie_Enterprise_VIS_0003_00000089.txt,210417_MtErie_Enterprise_IR_0004_00000090.txt,paired
90,91,210417_MtErie_Enterprise_VIS_0003_00000090.jpeg,210417_MtErie_Enterprise_IR_0004_00000091.jpeg,210417_MtErie_Enterprise_VIS_0003_00000090.txt,210417_MtErie_Enterprise_IR_0004_00000091.txt,paired
91,92,210417_MtErie_Enterprise_VIS_0003_00000091.jpeg,210417_MtErie_Enterprise_IR_0004_00000092.jpeg,210417_MtErie_Enterprise_VIS_0003_00000091.txt,210417_MtErie_Enterprise_IR_0004_00000092.txt,paired
92,93,210417_MtErie_Enterprise_VIS_0003_00000092.jpeg,210417_MtErie_Enterprise_IR_0004_00000093.jpeg,210417_MtErie_Enterprise_VIS_0003_00000092.txt,210417_MtErie_Enterprise_IR_0004_00000093.txt,paired
93,94,210417_MtErie_Enterprise_VIS_0003_00000093.jpeg,210417_MtErie_Enterprise_IR_0004_00000094.jpeg,210417_MtErie_Enterprise_VIS_0003_00000093.txt,210417_MtErie_Enterprise_IR_0004_00000094.txt,paired
94,95,210417_MtErie_Enterprise_VIS_0003_00000094.jpeg,210417_MtErie_Enterprise_IR_0004_00000095.jpeg,210417_MtErie_Enterprise_VIS_0003_00000094.txt,210417_MtErie_Enterprise_IR_0004_00000095.txt,paired
95,96,210417_MtErie_Enterprise_VIS_0003_00000095.jpeg,210417_MtErie_Enterprise_IR_0004_00000096.jpeg,210417_MtErie_Enterprise_VIS_0003_00000095.txt,210417_MtErie_Enterprise_IR_0004_00000096.txt,paired
96,97,210417_MtErie_Enterprise_VIS_0003_00000096.jpeg,210417_MtErie_Enterprise_IR_0004_00000097.jpeg,210417_MtErie_Enterprise_VIS_0003_00000096.txt,210417_MtErie_Enterprise_IR_0004_00000097.txt,paired
97,98,210417_MtErie_Enterprise_VIS_0003_00000097.jpeg,210417_MtErie_Enterprise_IR_0004_00000098.jpeg,210417_MtErie_Enterprise_VIS_0003_00000097.txt,210417_MtErie_Enterprise_IR_0004_00000098.txt,paired
98,99,210417_MtErie_Enterprise_VIS_0003_00000098.jpeg,210417_MtErie_Enterprise_IR_0004_00000099.jpeg,210417_MtErie_Enterprise_VIS_0003_00000098.txt,210417_MtErie_Enterprise_IR_0004_00000099.txt,paired
99,100,210417_MtErie_Enterprise_VIS_0003_00000099.jpeg,210417_MtErie_Enterprise_IR_0004_00000100.jpeg,210417_MtErie_Enterprise_VIS_0003_00000099.txt,210417_MtErie_Enterprise_IR_0004_00000100.txt,paired
100,101,210417_MtErie_Enterprise_VIS_0003_00000100.jpeg,210417_MtErie_Enterprise_IR_0004_00000101.jpeg,210417_MtErie_Enterprise_VIS_0003_00000100.txt,210417_MtErie_Enterprise_IR_0004_00000101.txt,paired
101,102,210417_MtErie_Enterprise_VIS_0003_00000101.jpeg,210417_MtErie_Enterprise_IR_0004_00000102.jpeg,210417_MtErie_Enterprise_VIS_0003_00000101.txt,210417_MtErie_Enterprise_IR_0004_00000102.txt,paired
102,103,210417_MtErie_Enterprise_VIS_0003_00000102.jpeg,210417_MtErie_Enterprise_IR_0004_00000103.jpeg,210417_MtErie_Enterprise_VIS_0003_00000102.txt,210417_MtErie_Enterprise_IR_0004_00000103.txt,paired
103,104,210417_MtErie_Enterprise_VIS_0003_00000103.jpeg,210417_MtErie_Enterprise_IR_0004_00000104.jpeg,210417_MtErie_Enterprise_VIS_0003_00000103.txt,210417_MtErie_Enterprise_IR_0004_00000104.txt,paired
104,105,210417_MtErie_Enterprise_VIS_0003_00000104.jpeg,210417_MtErie_Enterprise_IR_0004_00000105.jpeg,210417_MtErie_Enterprise_VIS_0003_00000104.txt,210417_MtErie_Enterprise_IR_0004_00000105.txt,paired
105,106,210417_MtErie_Enterprise_VIS_0003_00000105.jpeg,210417_MtErie_Enterprise_IR_0004_00000106.jpeg,210417_MtErie_Enterprise_VIS_0003_00000105.txt,210417_MtErie_Enterprise_IR_0004_00000106.txt,paired
106,107,210417_MtErie_Enterprise_VIS_0003_00000106.jpeg,210417_MtErie_Enterprise_IR_0004_00000107.jpeg,210417_MtErie_Enterprise_VIS_0003_00000106.txt,210417_MtErie_Enterprise_IR_0004_00000107.txt,paired
107,108,210417_MtErie_Enterprise_VIS_0003_00000107.jpeg,210417_MtErie_Enterprise_IR_0004_00000108.jpeg,210417_MtErie_Enterprise_VIS_0003_00000107.txt,210417_MtErie_Enterprise_IR_0004_00000108.txt,paired
108,109,210417_MtErie_Enterprise_VIS_0003_00000108.jpeg,210417_MtErie_Enterprise_IR_0004_00000109.jpeg,210417_MtErie_Enterprise_VIS_0003_00000108.txt,210417_MtErie_Enterprise_IR_0004_00000109.txt,paired
109,110,210417_MtErie_Enterprise_VIS_0003_00000109.jpeg,210417_MtErie_Enterprise_IR_0004_00000110.jpeg,210417_MtErie_Enterprise_VIS_0003_00000109.txt,210417_MtErie_Enterprise_IR_0004_00000110.txt,paired
110,111,210417_MtErie_Enterprise_VIS_0003_00000110.jpeg,210417_MtErie_Enterprise_IR_0004_00000111.jpeg,210417_MtErie_Enterprise_VIS_0003_00000110.txt,210417_MtErie_Enterprise_IR_0004_00000111.txt,paired
111,112,210417_MtErie_Enterprise_VIS_0003_00000111.jpeg,210417_MtErie_Enterprise_IR_0004_00000112.jpeg,210417_MtErie_Enterprise_VIS_0003_00000111.txt,210417_MtErie_Enterprise_IR_0004_00000112.txt,paired
112,113,210417_MtErie_Enterprise_VIS_0003_00000112.jpeg,210417_MtErie_Enterprise_IR_0004_00000113.jpeg,210417_MtErie_Enterprise_VIS_0003_00000112.txt,210417_MtErie_Enterprise_IR_0004_00000113.txt,paired
113,114,210417_MtErie_Enterprise_VIS_0003_00000113.jpeg,210417_MtErie_Enterprise_IR_0004_00000114.jpeg,210417_MtErie_Enterprise_VIS_0003_00000113.txt,210417_MtErie_Enterprise_IR_0004_00000114.txt,paired
