recording_name,recording_path,collection_context,modality,date_token,location_token,platform_token,stream_identifier,image_count,annotation_count,image_extensions,annotation_extensions,minimum_frame_index,maximum_frame_index,unique_frame_index_count,obvious_gap_count,obvious_gap_examples,example_frame_names,parsing_status,evidence_status,interpretation
200704_Baker_FLIR_IR_2,200704_Baker_FLIR_IR_2,200704_Baker_FLIR,IR,200704,Baker,FLIR,2,1081,1082,.jpg,.txt,,,0,0,,200704_baker_FLIR_2_ 0001.jpg;200704_baker_FLIR_2_ 0002.jpg;200704_baker_FLIR_2_ 0003.jpg;200704_baker_FLIR_2_ 0004.jpg;200704_baker_FLIR_2_ 0005.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200717_Mission_FLIR_VIS,200717_Mission_FLIR_VIS,,,200717,,,,363,364,.jpg,.txt,63,425,363,0,,200717_Mission_FLIR_VIS_00000063.jpg;200717_Mission_FLIR_VIS_00000064.jpg;200717_Mission_FLIR_VIS_00000065.jpg;200717_Mission_FLIR_VIS_00000066.jpg;200717_Mission_FLIR_VIS_00000067.jpg,ambiguous_or_unparsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200910_Carnation_FLIR_IR_1,200910_Carnation_FLIR_IR_1,200910_Carnation_FLIR,IR,200910,Carnation,FLIR,1,183,184,.jpg,.txt,,,0,0,,20200911_003757_IR 270.jpg;20200911_003757_IR 271.jpg;20200911_003757_IR 272.jpg;20200911_003757_IR 273.jpg;20200911_003757_IR 274.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200910_Carnation_FLIR_IR_2,200910_Carnation_FLIR_IR_2,200910_Carnation_FLIR,IR,200910,Carnation,FLIR,2,450,451,.jpg,.txt,,,0,0,,20200911_003901_IR 001.jpg;20200911_003901_IR 002.jpg;20200911_003901_IR 003.jpg;20200911_003901_IR 004.jpg;20200911_003901_IR 005.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200910_Carnation_FLIR_IR_3,200910_Carnation_FLIR_IR_3,200910_Carnation_FLIR,IR,200910,Carnation,FLIR,3,452,453,.jpg,.txt,,,0,0,,20200910_222807_IR 001.jpg;20200910_222807_IR 002.jpg;20200910_222807_IR 003.jpg;20200910_222807_IR 004.jpg;20200910_222807_IR 005.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200910_Carnation_FLIR_IR_4,200910_Carnation_FLIR_IR_4,200910_Carnation_FLIR,IR,200910,Carnation,FLIR,4,452,453,.jpg,.txt,,,0,0,,20200910_222907_IR 001.jpg;20200910_222907_IR 002.jpg;20200910_222907_IR 003.jpg;20200910_222907_IR 004.jpg;20200910_222907_IR 005.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200910_Carnation_FLIR_IR_5,200910_Carnation_FLIR_IR_5,200910_Carnation_FLIR,IR,200910,Carnation,FLIR,5,452,453,.jpg,.txt,,,0,0,,20200910_223011_IR 001.jpg;20200910_223011_IR 002.jpg;20200910_223011_IR 003.jpg;20200910_223011_IR 004.jpg;20200910_223011_IR 005.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200910_Carnation_FLIR_IR_6,200910_Carnation_FLIR_IR_6,200910_Carnation_FLIR,IR,200910,Carnation,FLIR,6,452,453,.jpg,.txt,,,0,0,,20200910_223113_IR 001.jpg;20200910_223113_IR 002.jpg;20200910_223113_IR 003.jpg;20200910_223113_IR 004.jpg;20200910_223113_IR 005.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200910_Carnation_FLIR_IR_7,200910_Carnation_FLIR_IR_7,200910_Carnation_FLIR,IR,200910,Carnation,FLIR,7,408,409,.jpg,.txt,,,0,0,,20200910_223217_IR 001.jpg;20200910_223217_IR 002.jpg;20200910_223217_IR 003.jpg;20200910_223217_IR 004.jpg;20200910_223217_IR 005.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200929_Karen_FLIR_IR_1,200929_Karen_FLIR_IR_1,200929_Karen_FLIR,IR,200929,Karen,FLIR,1,452,453,.jpg,.txt,,,0,0,,20200929_133252_IR 001.jpg;20200929_133252_IR 002.jpg;20200929_133252_IR 003.jpg;20200929_133252_IR 004.jpg;20200929_133252_IR 005.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200929_Karen_FLIR_IR_2,200929_Karen_FLIR_IR_2,200929_Karen_FLIR,IR,200929,Karen,FLIR,2,452,453,.jpg,.txt,,,0,0,,20200929_133653_IR 001.jpg;20200929_133653_IR 002.jpg;20200929_133653_IR 003.jpg;20200929_133653_IR 004.jpg;20200929_133653_IR 005.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200929_Karen_FLIR_IR_3,200929_Karen_FLIR_IR_3,200929_Karen_FLIR,IR,200929,Karen,FLIR,3,452,453,.jpg,.txt,,,0,0,,20200929_133753_IR 001.jpg;20200929_133753_IR 002.jpg;20200929_133753_IR 003.jpg;20200929_133753_IR 004.jpg;20200929_133753_IR 005.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200929_Karen_FLIR_IR_4,200929_Karen_FLIR_IR_4,200929_Karen_FLIR,IR,200929,Karen,FLIR,4,452,453,.jpg,.txt,,,0,0,,20200929_133853_IR 001.jpg;20200929_133853_IR 002.jpg;20200929_133853_IR 003.jpg;20200929_133853_IR 004.jpg;20200929_133853_IR 005.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200929_Karen_FLIR_IR_5,200929_Karen_FLIR_IR_5,200929_Karen_FLIR,IR,200929,Karen,FLIR,5,452,453,.jpg,.txt,,,0,0,,20200929_133954_IR 001.jpg;20200929_133954_IR 002.jpg;20200929_133954_IR 003.jpg;20200929_133954_IR 004.jpg;20200929_133954_IR 005.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
200929_Karen_FLIR_IR_6,200929_Karen_FLIR_IR_6,200929_Karen_FLIR,IR,200929,Karen,FLIR,6,451,452,.jpg,.txt,,,0,0,,20200929_134258_IR 001.jpg;20200929_134258_IR 002.jpg;20200929_134258_IR 003.jpg;20200929_134258_IR 004.jpg;20200929_134258_IR 005.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
210327_Airfield_FLIR_IR_1,210327_Airfield_FLIR_IR_1,210327_Airfield_FLIR,IR,210327,Airfield,FLIR,1,983,984,.jpg,.txt,0,982,983,0,,20210327_120445_IR_H264 (1-6-2022 8-28-04 AM).mp4_00000.jpg;20210327_120445_IR_H264 (1-6-2022 8-28-04 AM).mp4_00001.jpg;20210327_120445_IR_H264 (1-6-2022 8-28-04 AM).mp4_00002.jpg;20210327_120445_IR_H264 (1-6-2022 8-28-04 AM).mp4_00003.jpg;20210327_120445_IR_H264 (1-6-2022 8-28-04 AM).mp4_00004.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
210327_Airfield_FLIR_IR_2,210327_Airfield_FLIR_IR_2,210327_Airfield_FLIR,IR,210327,Airfield,FLIR,2,922,923,.jpg,.txt,0,921,922,0,,20210327_113815_IR_H264 (1-6-2022 8-27-33 AM).mp4_00000.jpg;20210327_113815_IR_H264 (1-6-2022 8-27-33 AM).mp4_00001.jpg;20210327_113815_IR_H264 (1-6-2022 8-27-33 AM).mp4_00002.jpg;20210327_113815_IR_H264 (1-6-2022 8-27-33 AM).mp4_00003.jpg;20210327_113815_IR_H264 (1-6-2022 8-27-33 AM).mp4_00004.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
210327_Airfield_FLIR_IR_3,210327_Airfield_FLIR_IR_3,210327_Airfield_FLIR,IR,210327,Airfield,FLIR,3,1062,1063,.jpg,.txt,0,1061,1062,0,,20210327_114712_IR_H264 (1-6-2022 8-27-38 AM).mp4_00000.jpg;20210327_114712_IR_H264 (1-6-2022 8-27-38 AM).mp4_00001.jpg;20210327_114712_IR_H264 (1-6-2022 8-27-38 AM).mp4_00002.jpg;20210327_114712_IR_H264 (1-6-2022 8-27-38 AM).mp4_00003.jpg;20210327_114712_IR_H264 (1-6-2022 8-27-38 AM).mp4_00004.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
210327_Airfield_FLIR_IR_4,210327_Airfield_FLIR_IR_4,210327_Airfield_FLIR,IR,210327,Airfield,FLIR,4,1061,1062,.jpg,.txt,0,1060,1061,0,,20210327_115044_IR_H264 (1-6-2022 8-27-43 AM).mp4_00000.jpg;20210327_115044_IR_H264 (1-6-2022 8-27-43 AM).mp4_00001.jpg;20210327_115044_IR_H264 (1-6-2022 8-27-43 AM).mp4_00002.jpg;20210327_115044_IR_H264 (1-6-2022 8-27-43 AM).mp4_00003.jpg;20210327_115044_IR_H264 (1-6-2022 8-27-43 AM).mp4_00004.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
210327_Airfield_FLIR_IR_5,210327_Airfield_FLIR_IR_5,210327_Airfield_FLIR,IR,210327,Airfield,FLIR,5,313,314,.jpg,.txt,0,312,313,0,,20210327_115416_IR_H264 (1-6-2022 8-27-52 AM).mp4_00000.jpg;20210327_115416_IR_H264 (1-6-2022 8-27-52 AM).mp4_00001.jpg;20210327_115416_IR_H264 (1-6-2022 8-27-52 AM).mp4_00002.jpg;20210327_115416_IR_H264 (1-6-2022 8-27-52 AM).mp4_00003.jpg;20210327_115416_IR_H264 (1-6-2022 8-27-52 AM).mp4_00004.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
210327_Airfield_FLIR_IR_6,210327_Airfield_FLIR_IR_6,210327_Airfield_FLIR,IR,210327,Airfield,FLIR,6,1059,1060,.jpg,.txt,0,1058,1059,0,,20210327_115741_IR_H264 (1-6-2022 8-27-56 AM).mp4_00000.jpg;20210327_115741_IR_H264 (1-6-2022 8-27-56 AM).mp4_00001.jpg;20210327_115741_IR_H264 (1-6-2022 8-27-56 AM).mp4_00002.jpg;20210327_115741_IR_H264 (1-6-2022 8-27-56 AM).mp4_00003.jpg;20210327_115741_IR_H264 (1-6-2022 8-27-56 AM).mp4_00004.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
210327_Airfield_FLIR_IR_7,210327_Airfield_FLIR_IR_7,210327_Airfield_FLIR,IR,210327,Airfield,FLIR,7,1059,1060,.jpg,.txt,0,1058,1059,0,,20210327_120113_IR_H264 (1-6-2022 8-28-00 AM).mp4_00000.jpg;20210327_120113_IR_H264 (1-6-2022 8-28-00 AM).mp4_00001.jpg;20210327_120113_IR_H264 (1-6-2022 8-28-00 AM).mp4_00002.jpg;20210327_120113_IR_H264 (1-6-2022 8-28-00 AM).mp4_00003.jpg;20210327_120113_IR_H264 (1-6-2022 8-28-00 AM).mp4_00004.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
210327_Airfield_FLIR_IR_8,210327_Airfield_FLIR_IR_8,210327_Airfield_FLIR,IR,210327,Airfield,FLIR,8,415,416,.jpg,.txt,161,575,415,0,,210327_Airfield_FLIR_8_IR_8_00000161.jpg;210327_Airfield_FLIR_8_IR_8_00000162.jpg;210327_Airfield_FLIR_8_IR_8_00000163.jpg;210327_Airfield_FLIR_8_IR_8_00000164.jpg;210327_Airfield_FLIR_8_IR_8_00000165.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
210327_Airfield_FLIR_VIS_1,210327_Airfield_FLIR_VIS_1,210327_Airfield_FLIR,VIS,210327,Airfield,FLIR,1,497,498,.jpg,.txt,75,571,497,0,,210327_Airfield_FLIR_VIS_1_00000075.jpg;210327_Airfield_FLIR_VIS_1_00000076.jpg;210327_Airfield_FLIR_VIS_1_00000077.jpg;210327_Airfield_FLIR_VIS_1_00000078.jpg;210327_Airfield_FLIR_VIS_1_00000079.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
210327_Airfield_FLIR_VIS_2,210327_Airfield_FLIR_VIS_2,210327_Airfield_FLIR,VIS,210327,Airfield,FLIR,2,249,250,.jpg,.txt,0,248,249,0,,210327_Airfield_FLIR_VIS_2_00000000.jpg;210327_Airfield_FLIR_VIS_2_00000001.jpg;210327_Airfield_FLIR_VIS_2_00000002.jpg;210327_Airfield_FLIR_VIS_2_00000003.jpg;210327_Airfield_FLIR_VIS_2_00000004.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
210327_Airfield_FLIR_VIS_3,210327_Airfield_FLIR_VIS_3,210327_Airfield_FLIR,VIS,210327,Airfield,FLIR,3,302,303,.jpg,.txt,270,571,302,0,,210327_Airfield_FLIR_VIS_3_00000270.jpg;210327_Airfield_FLIR_VIS_3_00000271.jpg;210327_Airfield_FLIR_VIS_3_00000272.jpg;210327_Airfield_FLIR_VIS_3_00000273.jpg;210327_Airfield_FLIR_VIS_3_00000274.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
210327_Airfield_FLIR_VIS_4,210327_Airfield_FLIR_VIS_4,210327_Airfield_FLIR,VIS,210327,Airfield,FLIR,4,572,573,.jpg,.txt,0,571,572,0,,210327_Airfield_FLIR_VIS_4_00000000.jpg;210327_Airfield_FLIR_VIS_4_00000001.jpg;210327_Airfield_FLIR_VIS_4_00000002.jpg;210327_Airfield_FLIR_VIS_4_00000003.jpg;210327_Airfield_FLIR_VIS_4_00000004.jpg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
210417_MtErie_Enterprise_IR_0004,210417_MtErie_Enterprise_IR_0004,210417_MtErie_Enterprise,IR,210417,MtErie,Enterprise,0004,264,265,.jpeg,.txt,1,264,264,0,,210417_MtErie_Enterprise_IR_0004_00000001.jpeg;210417_MtErie_Enterprise_IR_0004_00000002.jpeg;210417_MtErie_Enterprise_IR_0004_00000003.jpeg;210417_MtErie_Enterprise_IR_0004_00000004.jpeg;210417_MtErie_Enterprise_IR_0004_00000005.jpeg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
210417_MtErie_Enterprise_IR_0006,210417_MtErie_Enterprise_IR_0006,210417_MtErie_Enterprise,IR,210417,MtErie,Enterprise,0006,272,273,.jpeg,.txt,0,290,272,19,161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179,210417_MtErie_Enterprise_IR_0006_00000.jpeg;210417_MtErie_Enterprise_IR_0006_00001.jpeg;210417_MtErie_Enterprise_IR_0006_00002.jpeg;210417_MtErie_Enterprise_IR_0006_00003.jpeg;210417_MtErie_Enterprise_IR_0006_00004.jpeg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
210417_MtErie_Enterprise_IR_0008,210417_MtErie_Enterprise_IR_0008,210417_MtErie_Enterprise,IR,210417,MtErie,Enterprise,0008,172,173,.jpeg,.txt,1,179,172,7,60;79;169;170;171;172;173,210417_MtErie_Enterprise_IR_0008_out_frame_00001.jpeg;210417_MtErie_Enterprise_IR_0008_out_frame_00002.jpeg;210417_MtErie_Enterprise_IR_0008_out_frame_00003.jpeg;210417_MtErie_Enterprise_IR_0008_out_frame_00004.jpeg;210417_MtErie_Enterprise_IR_0008_out_frame_00005.jpeg,parsed,observed,"Recording identity, modality, grouping, and frame structure are ZIP path/name observations only; no flight or synchronization claim is made."
